,FIPS,Jan_p,Feb_p,Mar_p,Apr_p,May_p,Jun_p,Jul_p,Aug_p,Sep_p,Oct_p,Nov_p,Dec_p,Jan_t,Feb_t,Mar_t,Apr_t,May_t,Jun_t,Jul_t,Aug_t,Sep_t,Oct_t,Nov_t,Dec_t,Jan_soi,Feb_soi,Mar_soi,Apr_soi,May_soi,Jun_soi,Jul_soi,Aug_soi,Sep_soi,Oct_soi,Nov_soi,Dec_soi,snow
0,08037,1.0850000000000002,1.0283333333333333,2.35,2.665,1.9833333333333334,0.9699999999999999,2.67,0.8733333333333334,2.5316666666666667,2.3983333333333334,2.5799999999999996,2.595,18.43279569892473,22.794985250737465,31.32930107526882,38.93611111111111,43.44489247311827,55.736111111111114,57.81182795698925,56.995967741935495,54.09583333333333,39.18279569892473,29.591666666666665,13.881720430107528,-0.1,-1.8,-0.4,0.2,1.2,0.3,0.5,-0.2,-0.7,0.3,-0.5,-0.2,70.60000000000001
1,08037,1.895,1.9149999999999998,3.6499999999999995,3.83,1.4866666666666666,1.9666666666666668,1.9866666666666666,2.0533333333333337,1.5466666666666669,1.6666666666666667,2.816666666666667,0.42833333333333334,15.33333333333333,24.31858407079646,27.56720430107527,33.51527777777778,45.465591397849465,54.81916666666667,58.892741935483876,58.41854838709677,51.613333333333344,43.34623655913979,27.050833333333333,20.1991935483871,0.6,0.3,-0.7,-0.6,-1.0,-0.1,0.0,-0.4,-1.5,-1.0,-0.7,-1.8,97.96666666666667
2,08037,1.21,1.87,3.7433333333333336,1.2633333333333334,1.8366666666666664,1.1066666666666667,1.5033333333333334,1.9733333333333332,2.0366666666666666,0.7700000000000001,3.3683333333333336,1.1300000000000001,19.059677419354838,24.772566371681418,32.561290322580646,41.56194444444445,49.53306451612904,52.39083333333333,56.96774193548388,57.48467741935484,51.780833333333334,44.69677419354839,23.211388888888894,17.85483870967742,-2.9,-0.9,-2.0,-1.0,0.3,-0.6,-0.6,0.4,0.1,-1.4,-0.7,-0.6,78.01666666666668
3,08037,3.043333333333334,4.498333333333333,3.33,3.4400000000000004,2.1033333333333335,1.0633333333333335,1.1333333333333333,1.2,1.3699999999999999,2.278333333333333,1.8116666666666665,2.06,20.67715053763441,21.786725663716815,29.87150537634409,35.607499999999995,46.25564516129031,52.414166666666674,57.19112903225806,57.24193548387096,48.95250000000001,39.91451612903225,22.865,18.916397849462367,-0.9,-0.7,-0.5,-1.2,-0.3,-0.8,-0.8,-0.9,-0.7,-1.1,-0.1,0.2,105.96666666666667
4,08037,1.4133333333333333,1.9550000000000005,1.2833333333333334,3.086666666666667,0.7133333333333335,0.7766666666666666,0.5750000000000001,1.5650000000000004,1.86,1.7350000000000003,2.725,1.3850000000000002,21.10215053763441,21.26283185840708,32.32822580645161,37.54916666666667,48.28709677419354,57.96416666666667,59.47311827956989,59.276881720430104,50.44166666666667,38.77956989247311,24.901388888888892,21.303763440860216,-0.1,0.3,-0.7,-1.3,-0.7,-0.4,-1.3,-1.2,-1.6,-1.1,-0.6,-1.2,77.88333333333334
5,08037,2.015,4.165,4.235,4.1049999999999995,6.324999999999998,1.8650000000000002,2.485,1.025,2.4650000000000003,2.54,3.465,2.37,19.44220430107527,27.597345132743364,29.190860215053764,32.80833333333333,40.017473118279575,50.09027777777778,55.690860215053775,59.39784946236559,50.47361111111111,37.479838709677416,30.102777777777778,21.853494623655916,-0.4,-0.1,0.8,-0.7,-0.4,0.1,0.4,0.3,0.3,0.0,0.0,-0.5,131.04999999999998
6,08037,4.805,4.0600000000000005,2.995,3.9049999999999994,1.86,1.18,0.495,0.35,3.9250000000000003,2.9,3.3499999999999996,4.8999999999999995,17.059139784946236,23.99410029498525,26.900537634408604,34.65138888888888,47.06317204301076,53.329166666666666,59.97580645161291,59.18413978494623,47.57777777777778,39.09408602150537,29.6125,18.559139784946236,1.0,0.3,1.1,0.8,0.3,1.2,0.7,0.7,0.6,0.6,-0.1,0.9,198.79999999999998
7,08037,4.41,1.4400000000000004,1.82,4.2,3.815,1.2650000000000001,0.7300000000000001,2.105,2.465,2.735,2.1,1.29,18.986559139784948,20.309734513274336,30.092741935483872,31.887500000000003,44.02150537634409,53.4875,57.78763440860215,55.99193548387097,51.604166666666664,38.536290322580655,25.769444444444442,18.5752688172043,0.5,1.7,-0.4,-0.6,-1.3,-1.4,-0.8,-1.4,-1.4,-1.5,-1.2,-1.0,122.05
8,08037,2.805,3.0349999999999993,2.8299999999999996,2.5999999999999996,0.9200000000000002,1.375,2.5450000000000004,2.6200000000000006,0.9249999999999999,3.214999999999999,2.035,1.12,21.330645161290327,22.539823008849556,27.548387096774192,33.858333333333334,45.924731182795696,49.4625,60.943548387096776,57.91129032258065,54.54027777777778,40.087365591397855,29.936111111111114,20.294354838709676,-2.7,-2.0,-2.4,-1.4,0.3,1.0,1.2,1.2,1.0,1.1,1.0,1.4,116.85000000000001
9,08037,3.47,2.41,1.665,3.21,4.375000000000001,1.7750000000000001,2.73,2.6500000000000004,1.3949999999999998,0.93,1.1800000000000002,2.2750000000000004,22.424731182795703,23.932153392330385,33.80107526881721,33.78055555555555,42.33870967741935,51.74583333333333,58.935483870967744,56.80510752688173,47.84166666666667,41.600806451612904,34.14722222222222,20.244623655913976,1.8,1.0,1.3,1.4,0.2,0.3,0.5,0.4,-0.1,1.0,1.0,1.4,105.35
10,08037,3.3663333333333334,2.5326666666666675,2.037333333333333,2.9885,2.1085000000000003,1.458,1.0535,2.011,1.6185,1.0166666666666666,2.039666666666667,1.5370000000000001,23.342741935483875,27.40884955752212,31.700806451612905,39.965,48.088709677419345,55.44000000000001,62.025,61.825806451612905,52.51666666666666,43.188709677419354,20.796666666666667,20.012096774193544,0.7,1.7,1.3,1.2,0.4,-0.2,-0.2,0.7,0.9,1.1,1.8,0.8,86.19333333333333
11,08037,0.9405,1.2653333333333334,2.8525,2.876666666666667,1.2816666666666667,1.0633333333333335,0.9066666666666665,1.7716666666666667,2.013333333333333,1.0633333333333335,3.4433333333333334,2.8833333333333333,19.219354838709677,25.223008849557523,31.600806451612904,39.63666666666666,47.402419354838706,55.80083333333333,62.182526881720435,58.717741935483865,53.02333333333333,41.94516129032259,32.3125,19.349999999999998,1.0,1.7,0.9,0.2,-0.5,0.3,-0.2,-0.4,0.2,0.0,0.7,-0.8,88.575
12,08037,2.125,1.53,1.8116666666666668,1.2850000000000001,1.0150000000000001,0.44499999999999995,1.846666666666667,1.5283333333333333,3.3449999999999998,3.3416666666666663,3.9566666666666674,1.765,18.897580645161288,18.889380530973455,26.016129032258068,41.66583333333334,46.52903225806452,58.9675,64.02983870967743,59.811290322580646,51.52083333333334,39.534408602150535,26.305,21.70645161290323,0.4,1.1,-0.2,-0.1,-0.8,-0.2,-0.5,-1.0,-0.6,-0.4,-0.5,-1.1,94.83333333333334
13,08037,1.8266666666666664,3.668333333333333,4.134166666666666,3.7798333333333334,2.1233333333333335,1.6825,1.7375,3.4775000000000005,2.263571428571429,0.3548214285714286,2.854543650793651,1.5915952380952383,26.56935483870968,22.548672566371682,30.52715053763441,38.39083333333334,46.54731182795699,53.08611111111111,64.67903225806451,60.43394777265745,49.346825396825395,45.33026113671275,26.13785714285714,22.26989247311828,-0.2,-0.7,-0.3,-0.1,-0.3,-0.6,0.3,0.1,-0.1,0.0,-0.3,1.1,95.27111111111111
14,08037,1.8288888888888888,1.2960515873015874,1.6880555555555554,2.6237896825396825,0.7976984126984128,0.9738849206349206,1.7181071428571428,1.0533809523809523,2.2711626984126982,2.3893452380952382,2.8493650793650795,0.9855674603174603,19.588402457757297,21.357774968394438,34.84047619047619,39.04365079365079,46.85253456221198,52.55515873015874,57.68740399385561,56.27956989247312,50.26238095238096,41.33525345622119,30.934920634920633,20.533410138248847,-1.3,1.2,0.4,-0.9,1.0,-0.8,-0.5,-0.3,-0.3,-0.1,-0.7,-0.8,71.88126984126984
15,08037,2.7893253968253973,2.240639971139971,1.6382424242424245,2.3945324675324673,1.2414163059163061,2.327762626262626,0.8736626984126983,1.759185425685426,3.4199632034632033,2.8079065656565656,2.5516746031746034,3.0036309523809526,25.730414746543783,24.763168984407923,29.341013824884794,38.13968253968254,46.45084485407066,51.450793650793656,61.52073732718895,56.75960061443932,52.299206349206344,42.17181259600615,29.943888888888896,18.881720430107528,0.3,-3.1,0.3,-0.6,-0.8,0.4,0.2,-0.3,0.4,1.2,-0.2,0.0,91.93651154401155
16,08037,2.4037896825396827,1.3302103174603173,2.12006746031746,1.2118650793650794,1.3837499999999998,0.3461111111111112,2.8699246031746033,1.6348095238095237,3.058757936507937,3.163873015873016,2.0310833333333336,1.2480992063492065,21.23924731182796,21.233038348082598,28.893394777265748,40.35238095238095,47.75176651305683,56.47071428571429,61.815284178187405,57.88709677419356,46.456349206349195,38.74347158218125,30.66071428571429,22.695852534562214,1.7,0.1,1.8,1.1,-0.5,-0.2,-0.6,-1.0,-0.6,-1.3,0.1,-0.3,89.72416666666668
